Name,Season,Region,Games,WinRate,KDA,GPM,GDM,GameDuration,KillsPerGame,DeathsPerGame,TowersKilled,TowersLost,FB%,FT%,FOS%,DRAPG,DRA%,VGPG,HER%,ATAKHAN%,DRA@15,TD@15,GD@15,PPG,NASHPG,NASH%,CSM,DPM,WPM,VWPM,WCPM
PSG Talon,S15,TW,87,55.2%,1.12,1847,53,32:52,14.0,12.5,6.6,5.3,55.2,57.5,47.1,2.28,52.5,2.1,51.7,58.6,0.66,0.0,41,3.15,0.68,60.0,33.2,2666,3.4,1.26,1.59
RED Canids,S15,LAT,8,37.5%,0.98,1793,-49,32:39,16.0,16.4,3.8,6.4,100.0,50.0,50.0,1.50,40.4,1.8,50.0,50.0,0.50,-0.4,68,2.38,0.38,42.9,32.2,2622,3.6,1.33,1.39
Rogue,S15,EUW,29,20.7%,0.71,1709,-203,35:08,11.5,16.2,4.8,8.3,48.3,41.4,48.3,2.34,45.7,2.8,41.4,31.0,1.07,-0.2,-553,3.76,0.55,33.0,31.6,2314,3.5,1.20,1.29
Royal Never Give Up,S15,CN,31,32.3%,0.75,1763,-145,33:41,12.0,16.1,4.5,7.4,38.7,41.9,32.3,1.84,38.0,2.2,22.6,-,-,-,-519,-,0.35,25.0,33.7,2285,3.4,1.32,1.57
Shopify Rebellion,S15,NA,63,41.3%,0.78,1748,-125,34:55,12.0,15.4,5.0,6.9,47.6,34.9,41.3,2.10,41.7,1.9,50.8,44.4,0.67,0.0,-540,2.60,0.52,39.2,32.4,2497,3.2,1.11,1.37
SK Gaming,S15,EUW,37,21.6%,0.52,1709,-264,31:47,8.9,17.3,4.1,8.3,40.5,27.0,29.7,1.68,36.2,2.2,32.4,32.4,0.68,-0.2,-1085,3.92,0.24,21.9,33.0,2160,3.2,1.23,1.38
T1,S15,KR,145,61.4%,1.21,1909,99,31:57,16.0,13.2,6.5,4.6,53.1,60.0,54.5,2.30,54.7,1.8,51.0,60.7,0.98,0.1,432,4.37,0.63,65.7,34.1,2805,3.7,1.37,1.48
Team BDS,S15,EUW,50,36.0%,0.90,1777,-95,35:04,13.9,15.4,5.5,7.2,52.0,48.0,58.0,2.30,44.8,2.5,56.0,42.0,0.84,0.1,-86,3.32,0.64,45.6,32.3,2629,3.3,1.26,1.49
Team Heretics,S15,EUW,54,37.0%,0.72,1755,-152,33:20,10.7,14.8,4.6,7.9,42.6,40.7,38.9,2.17,44.7,2.3,42.6,25.9,0.87,-0.2,-679,2.96,0.37,30.5,33.8,2367,3.4,1.24,1.62
Team Liquid,S15,NA,66,48.5%,1.01,1809,-7,32:54,14.0,13.8,6.0,5.9,60.6,56.1,53.0,2.30,50.2,2.5,54.5,53.0,0.92,0.2,425,3.56,0.61,51.5,32.1,2617,3.3,1.27,1.47
Team Secret Whales,S15,VN,72,56.9%,1.18,1859,48,33:35,15.6,13.1,5.9,5.5,50.0,48.6,58.3,2.63,57.5,2.3,55.6,55.6,1.03,-0.1,274,3.25,0.49,47.5,33.7,2633,3.7,1.45,1.53
Team Vitality,S15,EUW,52,44.2%,0.91,1805,-44,34:21,14.0,15.2,6.1,6.6,51.9,53.8,36.5,2.15,44.0,2.3,44.2,61.5,0.81,-0.1,-280,3.62,0.60,48.4,32.7,2635,3.5,1.38,1.50
Team WE,S15,CN,127,40.2%,0.86,1819,-80,31:48,14.3,16.7,5.0,6.5,52.8,48.0,49.6,2.13,50.1,2.0,39.7,-,-,-,-366,-,0.49,45.7,32.9,2606,3.4,1.33,1.58
Top Esports,S15,CN,163,63.8%,1.09,1897,90,32:21,16.5,15.2,6.6,4.7,49.7,57.1,49.7,2.26,52.8,2.5,42.9,2.5,0.64,-0.1,491,4.00,0.61,57.9,33.5,2894,3.4,1.32,1.57
TT,S15,CN,98,34.7%,0.72,1783,-125,31:19,12.2,16.8,4.6,7.0,46.9,34.7,38.8,1.85,41.2,2.7,57.7,-,-,-,-617,-,0.37,37.8,32.9,2495,3.4,1.40,1.48
Ultra Prime,S15,CN,70,35.7%,0.82,1772,-107,32:26,12.1,14.8,4.6,6.5,47.1,37.1,41.4,2.11,47.2,2.0,57.1,-,-,-,-535,-,0.50,44.0,33.1,2321,3.6,1.41,1.39
Vivo Keyd Stars,S15,LAT,3,0.0%,0.25,1617,-466,30:16,5.7,23.0,1.0,8.7,33.3,33.3,33.3,1.00,21.7,2.3,66.7,33.3,0.33,-0.3,-1953,1.00,0.00,0.0,32.2,2196,2.9,0.96,1.27
Weibo Gaming,S15,CN,135,47.4%,1.04,1835,3,32:46,14.5,14.0,5.8,5.7,54.1,50.4,43.0,2.27,50.0,2.1,53.3,-,-,-,133,-,0.50,46.2,33.1,2573,3.5,1.34,1.61
